time,open,high,low,close,tick_volume,spread,real_volume
2020-09-23,3322.2,3326.7,3230.9,3236.1,28893,1,0
2020-09-24,3243.3,3277.8,3207.8,3244.8,54595,5,0
2020-09-25,3257.0,3305.8,3216.3,3297.5,37948,2,0
2020-09-28,3306.2,3359.7,3301.7,3351.9,28078,6,0
2020-09-29,3360.2,3372.0,3326.0,3334.0,20813,6,0
2020-09-30,3340.7,3392.9,3300.4,3357.7,52243,1,0
2020-10-01,3363.4,3396.5,3359.1,3380.1,41550,6,0
2020-10-02,3375.4,3383.0,3309.2,3347.5,62907,3,0
2020-10-05,3364.8,3409.3,3356.1,3406.6,26586,6,0
2020-10-06,3404.6,3430.9,3353.4,3359.4,37915,6,0
2020-10-07,3350.9,3425.9,3341.9,3416.4,35345,6,0
2020-10-08,3418.9,3447.3,3416.2,3446.3,28076,3,0
2020-10-09,3462.2,3482.1,3454.1,3476.8,21525,6,0
2020-10-12,3481.1,3550.0,3472.6,3535.5,33647,6,0
2020-10-13,3542.1,3542.6,3500.3,3511.1,49887,1,0
2020-10-14,3513.7,3532.4,3480.9,3488.7,44564,6,0
2020-10-15,3493.8,3494.6,3440.1,3484.3,55036,2,0
2020-10-16,3486.6,3516.3,3479.0,3485.1,34891,1,0
2020-10-19,3484.9,3504.9,3419.5,3428.7,46083,6,0
2020-10-20,3447.1,3477.9,3435.1,3442.4,52770,1,0
2020-10-21,3442.2,3465.9,3428.7,3435.1,56182,4,0
2020-10-22,3441.0,3460.8,3411.4,3455.0,47989,2,0
2020-10-23,3462.1,3470.1,3439.6,3465.9,37207,1,0
2020-10-26,3446.2,3449.7,3363.9,3402.5,55060,1,0
2020-10-27,3406.4,3417.6,3376.3,3376.5,51714,1,0
2020-10-28,3371.6,3377.7,3268.8,3282.6,76865,1,0
2020-10-29,3283.0,3340.6,3258.0,3283.1,78746,1,0
2020-10-30,3284.1,3304.2,3233.5,3286.9,100204,1,0
2020-11-02,3270.3,3331.8,3250.9,3308.8,78163,3,0
2020-11-03,3319.6,3391.1,3312.4,3368.0,59603,2,0
2020-11-04,3395.5,3488.0,3328.1,3443.6,162183,2,0
2020-11-05,3450.2,3530.0,3436.2,3510.8,95014,0,0
2020-11-06,3506.6,3526.1,3463.9,3509.3,86595,0,0
2020-11-09,3538.7,3675.3,3537.1,3552.8,117978,1,0
2020-11-10,3567.7,3569.5,3513.6,3549.3,147376,1,0
2020-11-11,3554.5,3583.6,3537.7,3574.2,80706,1,0
2020-11-12,3578.4,3580.1,3519.3,3539.5,89673,1,0
2020-11-13,3542.5,3595.7,3524.2,3587.0,61540,1,0
2020-11-16,3610.6,3642.2,3602.6,3631.4,53611,1,0
2020-11-17,3633.0,3633.2,3589.6,3612.9,45551,1,0
2020-11-18,3611.8,3627.8,3568.0,3568.0,45224,1,0
2020-11-19,3569.1,3586.8,3546.8,3582.6,54390,1,0
2020-11-20,3556.8,3586.8,3548.8,3558.2,53595,1,0
2020-11-23,3555.8,3592.1,3553.0,3579.1,47532,1,0
2020-11-24,3599.6,3642.8,3592.3,3636.1,51099,3,0
2020-11-25,3642.8,3658.3,3619.9,3630.4,42355,4,0
2020-11-26,3635.8,3642.7,3617.8,3621.8,18809,1,0
2020-11-27,3622.1,3646.3,3616.4,3640.9,26540,3,0
2020-11-30,3651.8,3652.1,3595.4,3624.6,55714,4,0
2020-12-01,3629.2,3679.8,3628.6,3663.3,42478,3,0
2020-12-02,3657.9,3671.9,3645.0,3669.9,38926,2,0
2020-12-03,3669.4,3684.2,3657.1,3669.4,25156,1,0
